iter	Passed	Remaining
679	909	428
680	910	426
681	911	425
682	912	423
683	913	422
684	914	420
685	916	419
686	917	417
687	918	416
688	919	414
689	920	413
690	920	411
691	921	410
692	922	408
693	924	407
694	925	405
695	926	404
696	927	403
697	928	401
698	929	400
699	930	398
700	931	397
701	932	396
702	933	394
703	934	393
704	935	391
705	936	390
706	937	388
707	938	387
708	939	385
709	941	384
710	942	382
711	943	381
712	944	380
713	945	378
714	946	377
715	947	375
716	948	374
717	949	372
718	950	371
719	951	370
720	952	368
721	953	367
722	954	365
723	955	364
724	956	362
725	957	361
726	958	360
727	959	358
728	960	357
729	961	355
730	962	354
731	963	352
732	964	351
733	965	349
734	966	348
735	967	347
736	968	345
737	969	344
738	970	342
739	972	341
740	973	340
741	974	338
742	975	337
743	976	335
744	977	334
745	978	333
746	979	331
747	980	330
748	981	328
749	982	327
750	983	326
751	984	324
752	985	323
753	986	321
754	987	320
755	988	319
756	989	317
757	990	316
758	991	314
759	992	313
760	993	312
761	994	310
762	995	309
763	996	307
764	997	306
765	999	305
766	1000	303
767	1001	302
768	1002	301
769	1003	299
770	1004	298
771	1005	296
772	1006	295
773	1007	294
774	1008	292
775	1009	291
776	1010	290
777	1011	288
778	1012	287
779	1013	285
780	1015	284
781	1016	283
782	1017	281
783	1018	280
784	1019	279
785	1020	277
786	1021	276
787	1022	275
788	1023	273
789	1024	272
790	1025	271
791	1027	269
792	1028	268
793	1029	267
794	1030	265
795	1031	264
796	1032	263
797	1033	261
798	1034	260
799	1035	258
800	1037	257
801	1038	256
802	1038	254
803	1039	253
804	1040	252
805	1042	250
806	1043	249
807	1044	248
808	1045	246
809	1046	245
810	1047	244
811	1048	242
812	1049	241
813	1050	239
814	1051	238
815	1052	237
816	1053	235
817	1054	234
818	1055	233
819	1056	231
820	1057	230
821	1058	229
822	1059	227
823	1060	226
824	1061	225
825	1062	223
826	1063	222
827	1064	221
828	1065	219
829	1066	218
830	1067	217
831	1068	215
832	1069	214
833	1071	213
834	1072	211
835	1073	210
836	1074	209
837	1075	207
838	1076	206
839	1077	205
840	1078	203
841	1079	202
842	1080	201
843	1081	199
844	1083	198
845	1084	197
846	1085	196
847	1086	194
848	1088	193
849	1089	192
850	1090	190
851	1091	189
852	1092	188
853	1093	186
854	1094	185
855	1095	184
856	1096	183
857	1097	181
858	1099	180
859	1100	179
860	1101	177
861	1102	176
862	1103	175
863	1104	173
864	1105	172
865	1106	171
866	1107	169
867	1108	168
868	1109	167
869	1110	165
870	1111	164
871	1112	163
872	1113	162
873	1114	160
874	1115	159
875	1116	158
876	1117	156
877	1118	155
878	1119	154
879	1120	152
880	1121	151
881	1122	150
882	1124	148
883	1125	147
884	1126	146
885	1127	145
886	1128	143
887	1129	142
